joint,parent,child,x_m,y_m,z_m,ax,ay,az,x2_m,y2_m,z2_m
right_finger1_joint1,right_palm_link,right_finger1_link1,0.0085244,0.020575,0.028712,0.42293651306183255,-0.05619145108013547,-0.9044154060743367,0.029671225653091632,0.017765427445993225,-0.016508770303716835
right_finger1_joint2,right_finger1_link1,right_finger1_link2,0.010915568339843683,0.03490889452074776,0.03559486602067819,0.9244355788405126,-0.11770349017743201,0.36271855339072123,0.05713734728186932,0.02902372001187616,0.05373079369021425
right_finger1_joint3,right_finger1_link2,right_finger1_link3,0.012124915924050659,0.06797503315547213,0.04597656818278344,0.6661787385491753,0.26162545694374784,-0.6983967415330663,0.04543385285150943,0.08105630600265952,0.011056731106130119
right_finger1_joint4,right_finger1_link3,right_finger1_link4,0.011563056067815691,0.09565430403769062,0.05616748457586225,0.6661787385491753,0.26162545694374784,-0.6983967415330663,0.04487199299527446,0.10873557688487802,0.021247647499208933
right_finger1_tip_fixed,right_finger1_link4,right_finger1_tip_link,0.01051467677624733,0.12257068543703827,0.06491813048449452,nan,nan,nan,nan,nan,nan
right_finger2_joint1,right_palm_link,right_finger2_link1,-0.0058701,0.029434,0.091917,0.22283364622554344,0.9686073130551214,-0.11020453350914107,0.005271582311277173,0.07786436565275608,0.08640677332454294
right_finger2_joint2,right_finger2_link1,right_finger2_link2,-0.00390790525317959,0.029451552373740378,0.09603883013838835,-0.973815024400233,0.2159446046122137,-0.0710790123119922,-0.052598656473191244,0.040248782604351066,0.09248487952278873
right_finger2_joint3,right_finger2_link2,right_finger2_link3,-0.010498791200744009,0.03584924335866827,0.13894250185279491,0.22309521463722992,0.9685492732324203,-0.11018543700017162,0.0006559695311174878,0.08427670702028929,0.13343323000278634
right_finger2_joint4,right_finger2_link3,right_finger2_link4,-0.011827753713837267,0.039482393324836725,0.16818774214864687,0.22309521463722992,0.9685492732324203,-0.11018543700017162,-0.0006729929819757705,0.08790985698645774,0.1626784702986383
right_finger2_tip_fixed,right_finger2_link4,right_finger2_tip_link,-0.014084555006449397,0.04308392728961493,0.19527645383868877,nan,nan,nan,nan,nan,nan
right_finger3_joint1,right_palm_link,right_finger3_link1,-0.01046,0.0074615,0.089544,-0.0005794349831527972,0.999999830842678,-5.0692365436847167e-05,-0.01048897174915764,0.057461491542133904,0.08954146538172815
right_finger3_joint2,right_finger3_link1,right_finger3_link2,-0.008616993135667668,0.007462779620574764,0.09372052056867856,-0.996194568606392,-0.000581648188867648,-0.08715528190826395,-0.05842672156598727,0.007433697211131382,0.08936275647326537
right_finger3_joint3,right_finger3_link2,right_finger3_link3,-0.017150457065846593,0.0074600167323490415,0.1367585550233186,-0.00031184714239373436,0.9999999510035362,-2.728158361622737e-05,-0.01716604942296628,0.057460014282525854,0.1367571909441378
right_finger3_joint4,right_finger3_link3,right_finger3_link4,-0.01972153831703435,0.007460016692223549,0.1661462997683614,-0.00031184714239373436,0.9999999510035362,-2.728158361622737e-05,-0.019737130674154037,0.05746001424240036,0.1661449356891806
right_finger3_tip_fixed,right_finger3_link4,right_finger3_tip_link,-0.02309369258510696,0.007459688247513594,0.1926532646322315,nan,nan,nan,nan,nan,nan
right_finger4_joint1,right_palm_link,right_finger4_link1,-0.0076649,-0.013712,0.084429,-0.05443048438432599,0.9944588819049882,0.08993805962977122,-0.0103864242192163,0.03601094409524941,0.08892590298148856
right_finger4_joint2,right_finger4_link1,right_finger4_link2,-0.0057896083046316184,-0.01398496700621633,0.08858216386274365,-0.9954148266116885,-0.04694567441053538,-0.08333922615288808,-0.05556034963521605,-0.0163322507267431,0.08441520255509924
right_finger4_joint3,right_finger4_link2,right_finger4_link3,-0.013948612587824373,-0.018310749713493647,0.13147517817832027,-0.05416310404734914,0.9944714561066738,0.08996044213446357,-0.01665676779019183,0.03141282309184004,0.13597320028504345
right_finger4_joint4,right_finger4_link3,right_finger4_link4,-0.01626894189625721,-0.02108557495165002,0.16075258272172402,-0.05416310404734914,0.9944714561066738,0.08996044213446357,-0.018977097098624666,0.02863799785368367,0.1652506048284472
right_finger4_tip_fixed,right_finger4_link4,right_finger4_tip_link,-0.019417024642654834,-0.023646170125481748,0.1871634008691723,nan,nan,nan,nan,nan,nan
right_finger5_joint1,right_palm_link,right_finger5_link1,-0.0022687,-0.034001,0.074281,-0.1715713355255206,0.9665828095066479,0.1904755868667281,-0.01084726677627603,0.014328140475332395,0.08380477934333641
right_finger5_joint2,right_finger5_link1,right_finger5_link2,-0.00034335201732873773,-0.03446967486118952,0.07839358787384691,-0.9833722171113,-0.15634602826290203,-0.09238507487696385,-0.04951196287289374,-0.04228697627433462,0.07377433412999872
right_finger5_joint3,right_finger5_link2,right_finger5_link3,-0.007610414122847008,-0.044073709102703626,0.12058416453075413,-0.17130718572790857,0.9666247707426762,0.1905003955498588,-0.016175773409242436,0.004257529434430182,0.13010918430824708
right_finger5_joint4,right_finger5_link3,right_finger5_link4,-0.00936618697327729,-0.05006690051254192,0.14941555226049638,-0.17130718572790857,0.9666247707426762,0.1905003955498588,-0.01793154625967272,-0.0017356619754081148,0.15894057203798934
right_finger5_tip_fixed,right_finger5_link4,right_finger5_tip_link,-0.011984526061020188,-0.05564336388487366,0.17541610367213964,nan,nan,nan,nan,nan,nan
